molecule_id,Filename,lifetime,SMILES
136,acceptor136.sdf,4.425562,c1ccc2c(c1)oc1ccccc12
137,acceptor137.sdf,6.00E-06,Brc1ccc2c(c1)-c1cc(Br)ccc1C2
138,acceptor138.sdf,9.562058,COC(=O)C1c2ccccc2-c2ccccc21
139,acceptor139.sdf,1.93567,c1ccc2c(c1)[nH]c1ncccc12
140,acceptor140.sdf,0.068877,c1ccc2c(c1)[nH]c1cnccc12
141,acceptor141.sdf,5.963527,c1ccc2c(c1)[nH]c1ccncc12
142,acceptor142.sdf,2.01796,c1ccc2c(c1)[nH]c1cccnc12
143,acceptor143.sdf,116.713352,C1=C(c2ccccc2)Cc2ccccc21
144,acceptor144.sdf,135.330816,c1ccc2c(c1)Cc1ccccc1-2
145,acceptor145.sdf,0.034783,O=[PH](c1ccccc1)c1ccccc1
146,acceptor146.sdf,1.201073,c1ccn2ncnc2c1
147,acceptor147.sdf,0.313873,c1ccc(-n2cnc3ccccc32)cc1
148,acceptor148.sdf,0.021021,c1ccc2c(c1)nc1sc3ccccc3n12
149,acceptor149.sdf,0.287356,c1ccc(C2(c3ccccc3)c3ccccc3-n3c2nc2ccccc23)cc1
152,acceptor152.sdf,0.058868,N#Cc1nc(-c2ccccc2)cc(-c2ccccc2)n1
154,acceptor154.sdf,0.018608,CC1(C)c2ccccc2S(=O)(=O)c2ccccc21
157,acceptor157.sdf,0.394011,O=S1(=O)c2ccccc2N(c2ccccc2)c2ccccc21
158,acceptor158.sdf,7.27802,Cc1nn(-c2ccccc2)c2c1c(=O)oc1ccccc12
166,acceptor166.sdf,1.921193,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1
168,acceptor168.sdf,1624.431449,C(/C=C/c1ccccc1)=C\c1ccccc1
169,acceptor169.sdf,856.164384,C(=C/C=C/c1ccccc1)\C=C\c1ccccc1
171,acceptor171.sdf,496.277916,C(/C=C/C=C/c1ccccc1)=C\C=C\c1ccccc1
