1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Lifetime,Filename
0.91623497,6.9817505,1.0328476,6.995507,6.2414045,7.181069,6.67357,5.7423525,6.9514637,2.7539706,0.0,0.0,0.0,7.147502,6.372705,6.413808,6.621764,0.0,7.0780005,6.9424505,4.0162497,5.773348,0.0,4.9561834,0.0,6.516024,5.016798,4.391914,5.009025,6.0251217,0.0,0.0,0.0,11
0.44751322,2.1386876,0.04711747,1.7605368,2.0886517,2.1293516,1.6578238,2.3701563,2.0175493,0.0,0.0,0.0,0.0,2.4574358,1.8669689,2.1131725,1.988874,0.0,1.8060929,1.7309927,1.5983496,2.3589225,0.0,0.6730919,0.0,2.2514455,1.3200178,1.218988,1.9316484,2.1128888,0.0,0.0,0.0,12
1.8474455,0.9146677,1.4130545,0.3487177,1.5137615,0.83740497,0.3112296,2.13144,0.70687985,0.0,0.0,0.0,0.0,1.225254,0.650634,1.103374,0.86038184,0.0,0.38715768,0.32348037,1.1284382,1.7778742,0.0,0.019475937,0.0,1.1132586,0.3259204,0.3668291,1.3315612,1.0649028,0.079453945,0.0,0.0,13
0.265626,0.6145977,0.32969558,0.15649903,0.64804876,0.5585921,0.11662102,1.2230589,0.50327337,0.0,0.0,0.0,0.0,1.0156822,0.4011702,0.7251961,0.5149387,0.0,0.18459737,0.13700044,0.71160746,1.2917298,0.0,0.5977564,0.0,0.9508619,0.18548948,0.24813843,0.8008293,0.9212752,0.2551322,0.0,0.0,14
0.44502735,1.8316039,0.8144903,1.4786068,1.6671529,1.8234714,1.3829257,2.0923145,1.7521381,0.063066244,0.0,0.0,0.0,2.201387,1.484385,1.8031056,1.6819999,0.0,1.5147415,1.4542865,1.2554212,2.1533856,0.0,1.9484291,0.0,2.0312176,1.118891,1.0508792,1.5559201,1.9125099,0.0,0.0,0.0,15
1.9697948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.729371,0.689503,0.48323435,0.0,0.08090055,0.0,0.0,0.0,0.009363115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1656149,0.0,0.0,0.0,0.21518335,0.0,0.32633293,0.0,16
0.0,0.85269856,0.0,0.39977312,0.974694,0.79183173,0.35078466,1.4884946,0.7086258,0.0,0.0,0.0,0.0,1.2367454,0.80290836,1.1197639,0.73010874,0.0,0.4378444,0.37559736,1.2466128,1.6089748,0.0,0.2059803,0.0,1.1405835,0.3667733,0.38996106,1.290464,1.0934486,0.44676208,0.0,0.0,17
0.776315,1.0112973,0.94582915,0.6595861,0.9110048,1.070239,0.593292,0.86592305,1.0371807,1.4819655,0.0,0.0,0.0,1.4278202,0.36768037,0.44016838,0.9095402,0.0,0.67124903,0.64748967,0.0,0.91665995,0.0,2.0183823,0.0,1.3659987,0.5107452,0.5631191,0.0,1.3099656,0.0,0.0,0.0,18
0.17867035,0.4175595,0.24780941,0.0,0.5419042,0.3483467,0.0,1.0539198,0.30506957,0.0,0.0,0.0,0.0,0.81981987,0.19273669,0.5131684,0.3339815,0.0,0.0,0.0,0.5329679,1.0896369,0.0,0.30402517,0.0,0.77425545,0.030088544,0.117444396,0.6113101,0.7595177,0.35459232,0.0,0.0,19
0.5525062,1.2621518,1.0639884,0.92271435,1.1415946,1.3096741,0.84561753,1.2204237,1.2634487,1.0939858,0.0,0.0,0.0,1.6751854,0.7246328,0.87800264,1.1403518,0.0,0.9414066,0.9073442,0.14945224,1.3230871,0.0,2.3365285,0.0,1.5810289,0.706407,0.71963984,0.4625847,1.5050867,0.0,0.0,0.0,20
0.0,0.3643427,0.0,0.0,0.39552963,0.2905923,0.0,1.0032482,0.23772538,0.0,0.0,0.0,0.0,0.7809567,0.29042035,0.62806034,0.26006973,0.0,0.0,0.0,0.8569093,1.1847329,0.0,0.11005545,0.22691774,0.7339023,0.007593155,0.086668134,0.8319801,0.72164464,0.89830256,0.0,0.0,21
0.0,0.6127435,0.0,0.13915014,0.6673534,0.5289104,0.10176718,1.2135382,0.4657687,0.0,0.0,0.0,0.0,1.0014927,0.5541933,0.89293706,0.5107217,0.0,0.17561102,0.116279244,1.0903692,1.3504997,0.0,0.0,0.119775295,0.9276305,0.1812194,0.23287141,1.1289349,0.89832276,0.79432464,0.0,0.0,22
1.709094,0.0,1.9978737,0.0,0.20772207,0.0,0.0,0.24382374,0.0,0.90478826,0.40378135,0.30913335,0.0,0.2798279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1487962,0.0,1.5169964,0.0,0.31894553,0.0,0.0,0.0,0.34888345,0.0,0.18122709,0.0,23
0.0,0.7716291,0.0,0.33013296,0.8444612,0.7208022,0.28241563,1.3072402,0.6388842,0.0,0.0,0.0,0.0,1.1702223,0.74017864,1.0431303,0.6460757,0.0,0.36657524,0.30691028,1.2035147,1.5197475,0.0,0.2604375,0.0,1.0840166,0.31710845,0.34754294,1.1982962,1.0422835,0.5117147,0.0,0.0,24
0.0,0.26569784,0.0,0.0,0.13654828,0.22139943,0.0,0.6052283,0.19522536,0.0,0.0,0.0,0.0,0.71078163,0.11007434,0.33530033,0.15103245,0.0,0.0,0.0,0.3944217,0.87786597,0.0,0.5564804,0.23737216,0.68759996,0.0,0.05460614,0.39283592,0.68260103,0.46829295,0.0,0.0,25
0.5769998,1.3097252,0.0,0.90129125,0.78675747,1.2271248,0.8348284,0.5440723,1.3389432,2.2588806,0.0,0.0,0.0,1.626673,0.2951632,0.22506446,1.2888339,0.0,0.91075575,0.8900105,0.0,0.2230733,0.0,0.0,0.19828296,1.5539813,0.652307,0.71946675,0.0,1.4847863,0.0,0.0,0.0,26
1.1767722,0.076149106,1.3203638,0.0,0.3601346,0.117340446,0.0,0.30367947,0.07512081,0.9823177,0.17227578,0.062690556,0.0,0.51037824,0.0,0.0,0.03438115,0.0,0.0,0.0,0.0,0.2894277,0.0,1.4263883,0.0,0.52930707,0.0,0.0,0.0,0.5420066,0.0,0.0,0.0,27
1.4794056,0.0,2.0070221,0.0,0.0,0.0,0.0,0.0,0.0,0.5535295,0.7028564,0.63553274,0.38742018,0.0,0.0,0.0,0.0,0.2149086,0.0,0.0,0.0,0.0,0.37372887,1.0464859,0.25553656,0.0,0.0,0.0,0.0,0.05595562,0.0,0.5272032,0.0,28
1.7740517,1.4979864,1.8349957,1.1204389,1.3168497,1.5123938,1.0414519,1.296968,1.5170286,1.8544466,0.0,0.0,0.0,1.8536761,0.57201415,0.6975622,1.4386518,0.0,1.1323811,1.1075441,0.0,1.049907,0.0,1.293241,0.0,1.7504427,0.8243095,0.8509485,0.05690752,1.6620231,0.0,0.0,0.0,29
