Filename,Smiles,Predicted_Y,product,pro_from_smi1_name,Initial_Y
338,N#Cc1cc2cccc3ccc4cccc1c4c32,0.2937261282570922,N#Cc1cc2cccc3ccc4cccc1c4c32,a12,1.9666457062497085
4901,Clc1c2c(cc3nsnc13)N=S=N2,0.29349076734961527,Clc1c2c(cc3nsnc13)N=S=N2,a198,1.9655801939392992
2007,N#Cc1ccc2c(c1)c1ccccc1c1nc(-c3ccc(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)cc3)n(-c3ccccc3)c21,0.2919088755103504,N#Cc1ccc2c(c1)c1ccccc1c1nc(-c3ccc(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)cc3)n(-c3ccccc3)c21,a58,1.9584337081277654
1756,N#Cc1ccc(-c2ccc3cc4ccccc4cc3c2)cc1,0.2912999283075942,N#Cc1ccc(-c2ccc3cc4ccccc4cc3c2)cc1,a53,1.9556896091878313
5969,CC1=CC(C)=[N+]2C1=C(c1c3ccccc3cc3ccc(C)cc13)c1c(C)cc(C)n1[B-]2(F)F,0.290524132971399,CC1=CC(C)=[N+]2C1=C(c1c3ccccc3cc3ccc(C)cc13)c1c(C)cc(C)n1[B-]2(F)F,p42,1.9521992112649664
6131,CC1=CC(C)=[N+]2C1=C(c1ccc3c4cccc5cccc(c6cc(Cl)cc1c36)c54)c1c(C)cc(C)n1[B-]2(F)F,0.28953534009685816,CC1=CC(C)=[N+]2C1=C(c1ccc3c4cccc5cccc(c6cc(Cl)cc1c36)c54)c1c(C)cc(C)n1[B-]2(F)F,p45,1.9477595396610268
3806,N#Cc1ccc2c(c1)ncc1ccccc12,0.2894661858416462,N#Cc1ccc2c(c1)ncc1ccccc12,a125,1.9474494156727464
3404,Cc1cccc2cc(-c3ccccc3)ccc12,0.2889523256719955,Cc1cccc2cc(-c3ccccc3)ccc12,a110,1.9451465430025923
340,COC(=O)CCCc1cc(C)c2ccc3cccc4ccc1c2c34,0.2887220054416906,COC(=O)CCCc1cc(C)c2ccc3cccc4ccc1c2c34,a13,1.944115243174204
485,Cc1cccc2cc3ccccc3cc12,0.28642174899123735,Cc1cccc2cc3ccccc3cc12,a18,1.9338453877259634
